akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ඣ්‍යු,U+0DA3 U+0DCA U+200D U+0DBA U+0DD4,L8_zwj_conj_dv,33-479,2,True,False,False,False,ඣ,u_下垂(u)@BELOW,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KETTI PAA-PILLA,jha-yu,0,False
ඣ්‍යූ,U+0DA3 U+0DCA U+200D U+0DBA U+0DD6,L8_zwj_conj_dv,33-532,2,True,False,False,False,ඣ,u_下垂(ū)@BELOW,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,jha-yū,0,False
ඣ්‍යෘ,U+0DA3 U+0DCA U+200D U+0DBA U+0DD8,L8_zwj_conj_dv,33-128-73,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,jha-ya+U+0DD8,0,False
ඣ්‍යෙ,U+0DA3 U+0DCA U+200D U+0DBA U+0DD9,L8_zwj_conj_dv,74-33-128,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA,jha-ye,0,False
ඣ්‍යේ,U+0DA3 U+0DCA U+200D U+0DBA U+0DDA,L8_zwj_conj_dv,74-33-240,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,jha-yē,0,False
ඣ්‍යෛ,U+0DA3 U+0DCA U+200D U+0DBA U+0DDB,L8_zwj_conj_dv,76-33-128,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBU DEKA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBU DEKA,jha-ya+U+0DDB,0,False
ඣ්‍යො,U+0DA3 U+0DCA U+200D U+0DBA U+0DDC,L8_zwj_conj_dv,74-33-128-66,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,jha-yo,0,False
ඣ්‍යෝ,U+0DA3 U+0DCA U+200D U+0DBA U+0DDD,L8_zwj_conj_dv,74-33-240-66,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA + SINHALA SIGN AL-LAKUNA,jha-yō,0,False
ඣ්‍යෞ,U+0DA3 U+0DCA U+200D U+0DBA U+0DDE,L8_zwj_conj_dv,74-33-128-80,4,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN GAYANUKITTA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN GAYANUKITTA,jha-yau,0,False
ඣ්‍යෟ,U+0DA3 U+0DCA U+200D U+0DBA U+0DDF,L8_zwj_conj_dv,33-128-80,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN GAYANUKITTA@POST,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN GAYANUKITTA,jha-ya+U+0DDF,0,False
