akshara,codepoints,freq
"ර්ව","U+0DBB U+0DCA U+0DC0",8733
"ම්මා","U+0DB8 U+0DCA U+0DB8 U+0DCF",8686
"න්වි","U+0DB1 U+0DCA U+0DC0 U+0DD2",8659
"ක්ෂා","U+0D9A U+0DCA U+0DC2 U+0DCF",8613
"පෘ","U+0DB4 U+0DD8",8536
"ර්ථි","U+0DBB U+0DCA U+0DAE U+0DD2",8502
"ඩො","U+0DA9 U+0DDC",8450
"ශ්ව","U+0DC1 U+0DCA U+0DC0",8275
"ඟි","U+0D9F U+0DD2",8275
"ත්ති","U+0DAD U+0DCA U+0DAD U+0DD2",8264
"ධ්‍යා","U+0DB0 U+0DCA U+200D U+0DBA U+0DCF",8220
"න්ති","U+0DB1 U+0DCA U+0DAD U+0DD2",8213
"ක්ෂි","U+0D9A U+0DCA U+0DC2 U+0DD2",8156
"ග්‍රී","U+0D9C U+0DCA U+200D U+0DBB U+0DD3",8071
"න්ගෙ","U+0DB1 U+0DCA U+0D9C U+0DD9",7984
"ල්ලා","U+0DBD U+0DCA U+0DBD U+0DCF",7867
"ඉං","U+0D89 U+0D82",7601
"ම්ව","U+0DB8 U+0DCA U+0DC0",7423
"ට්ට","U+0DA7 U+0DCA U+0DA7",7390
"න්වා","U+0DB1 U+0DCA U+0DC0 U+0DCF",7350
"ශ්වා","U+0DC1 U+0DCA U+0DC0 U+0DCF",7286
"පෝ","U+0DB4 U+0DDD",7257
"රං","U+0DBB U+0D82",7216
"වං","U+0DC0 U+0D82",7195
"ප්‍රේ","U+0DB4 U+0DCA U+200D U+0DBB U+0DDA",7150
"ජෝ","U+0DA2 U+0DDD",7103
"ජූ","U+0DA2 U+0DD6",7086
"ස්කෘ","U+0DC3 U+0DCA U+0D9A U+0DD8",7068
"ස්වා","U+0DC3 U+0DCA U+0DC0 U+0DCF",7014
"න්තා","U+0DB1 U+0DCA U+0DAD U+0DCF",6983
"ක්ෂේ","U+0D9A U+0DCA U+0DC2 U+0DDA",6862
"ප්","U+0DB4 U+0DCA",6777
"ස්ස","U+0DC3 U+0DCA U+0DC3",6752
"බ්‍රි","U+0DB6 U+0DCA U+200D U+0DBB U+0DD2",6744
"ක්ම","U+0D9A U+0DCA U+0DB8",6679
"ඝ","U+0D9D",6650
"ණී","U+0DAB U+0DD3",6521
"වෛ","U+0DC0 U+0DDB",6403
